Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Female,disloyal Customer,37,Business travel,Eco,448,3,5,3,2,4,3,1,4,3,1,1,2,3,4,31,25.0,neutral or dissatisfied
Male,Loyal Customer,48,Business travel,Business,2327,1,1,1,1,5,5,5,3,4,3,2,5,5,5,0,2.0,satisfied
Female,Loyal Customer,67,Business travel,Business,1488,3,3,3,3,5,5,4,2,2,2,2,3,2,4,21,25.0,satisfied
Female,disloyal Customer,24,Business travel,Eco,781,3,3,3,4,2,3,2,2,5,2,3,2,2,2,0,0.0,neutral or dissatisfied
Female,disloyal Customer,25,Business travel,Eco,236,3,0,3,2,5,3,5,5,2,5,5,5,3,5,2,4.0,neutral or dissatisfied
Female,Loyal Customer,39,Business travel,Eco,599,4,4,4,4,4,4,4,4,4,4,2,1,4,4,70,65.0,satisfied
Female,Loyal Customer,12,Personal Travel,Eco,216,1,4,0,3,5,0,3,5,3,2,5,3,5,5,16,18.0,neutral or dissatisfied
Female,Loyal Customer,27,Business travel,Eco Plus,694,4,1,1,1,4,4,4,4,3,2,5,2,5,4,0,0.0,satisfied
Male,disloyal Customer,21,Business travel,Eco,515,3,4,3,3,3,3,3,3,1,4,4,2,4,3,16,12.0,neutral or dissatisfied
Female,Loyal Customer,37,Personal Travel,Eco,393,0,2,0,3,3,0,3,3,3,5,4,4,4,3,0,0.0,satisfied
Female,Loyal Customer,48,Business travel,Business,1671,1,1,1,1,4,5,4,4,4,4,4,4,4,4,41,74.0,satisfied
Female,Loyal Customer,29,Business travel,Business,3513,3,3,3,3,5,5,5,5,3,5,5,5,5,5,0,0.0,satisfied
Female,Loyal Customer,52,Business travel,Business,2176,3,3,3,3,2,4,5,3,3,4,3,3,3,3,0,0.0,satisfied
Male,Loyal Customer,37,Personal Travel,Eco,163,2,4,2,3,3,2,4,3,5,4,4,5,4,3,0,0.0,neutral or dissatisfied
Female,disloyal Customer,24,Business travel,Eco,558,1,4,1,3,1,1,1,1,3,3,4,1,3,1,22,18.0,neutral or dissatisfied
Male,Loyal Customer,35,Personal Travel,Eco,806,2,4,3,4,2,3,2,2,2,2,3,5,1,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,59,Personal Travel,Eco,1464,3,5,3,2,3,3,3,3,4,5,4,4,5,3,64,90.0,neutral or dissatisfied
Female,Loyal Customer,66,Personal Travel,Eco,1068,2,5,2,4,3,5,5,4,4,2,1,4,4,4,0,0.0,neutral or dissatisfied
Female,disloyal Customer,27,Business travel,Eco,328,2,0,2,3,4,2,4,4,1,5,3,4,3,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,39,Business travel,Eco,325,3,4,4,4,3,3,3,3,2,5,3,3,3,3,0,8.0,neutral or dissatisfied
Male,Loyal Customer,72,Business travel,Eco,421,4,5,5,5,4,4,4,4,5,5,3,4,5,4,12,2.0,satisfied
Male,Loyal Customer,23,Personal Travel,Eco,265,2,3,2,1,5,2,5,5,2,1,5,5,3,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,46,Business travel,Business,391,3,3,3,3,2,4,5,5,5,5,5,4,5,3,2,0.0,satisfied
Male,Loyal Customer,21,Personal Travel,Eco,373,2,3,1,1,3,1,3,3,4,4,5,2,3,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,20,Personal Travel,Eco,595,3,1,3,3,2,3,2,2,1,4,3,4,4,2,0,0.0,neutral or dissatisfied
Female,disloyal Customer,25,Business travel,Business,1289,4,5,4,4,4,4,1,4,4,5,4,3,5,4,1,0.0,satisfied
Female,Loyal Customer,66,Personal Travel,Eco Plus,2419,1,4,1,4,2,5,4,4,4,1,4,5,4,4,17,0.0,neutral or dissatisfied
Female,Loyal Customer,49,Business travel,Business,3487,0,0,0,3,3,5,4,3,3,3,3,5,3,5,15,3.0,satisfied
Female,Loyal Customer,58,Business travel,Business,1576,3,1,1,1,4,2,2,3,3,3,3,4,3,4,34,34.0,neutral or dissatisfied
Female,Loyal Customer,65,Personal Travel,Eco,731,2,3,1,3,4,2,2,1,1,1,1,1,1,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,67,Personal Travel,Eco Plus,2136,5,5,5,4,4,5,4,4,3,2,4,4,5,4,0,0.0,satisfied
Male,disloyal Customer,41,Business travel,Eco,628,2,4,2,3,5,2,5,5,2,3,3,2,4,5,0,11.0,neutral or dissatisfied
Female,Loyal Customer,41,Personal Travel,Eco,270,2,2,2,4,2,5,5,1,4,3,3,5,1,5,147,139.0,neutral or dissatisfied
Male,disloyal Customer,37,Business travel,Eco,1214,4,4,4,3,2,4,2,2,3,3,3,5,3,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,47,Business travel,Eco Plus,1276,2,5,5,5,1,2,1,1,1,4,3,4,3,1,1,0.0,neutral or dissatisfied
Male,Loyal Customer,33,Business travel,Business,3233,3,3,4,3,4,4,4,4,3,4,5,4,5,4,37,43.0,satisfied
Female,Loyal Customer,46,Business travel,Business,2305,1,1,1,1,3,5,4,5,5,5,5,5,5,4,8,3.0,satisfied
Male,Loyal Customer,46,Business travel,Business,3474,1,1,1,1,5,4,4,4,4,4,4,4,4,4,12,12.0,satisfied
Female,Loyal Customer,17,Personal Travel,Eco,153,1,5,1,2,5,1,5,5,4,2,2,5,2,5,0,0.0,neutral or dissatisfied
Male,disloyal Customer,25,Business travel,Business,859,1,4,1,1,5,1,5,5,4,4,5,5,5,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,45,Business travel,Business,2248,1,1,1,1,5,5,5,4,4,3,4,5,5,5,223,237.0,satisfied
Male,Loyal Customer,18,Personal Travel,Eco,425,2,0,2,3,3,2,3,3,5,5,4,5,4,3,0,1.0,neutral or dissatisfied
Male,Loyal Customer,41,Personal Travel,Eco,704,2,5,2,1,4,2,4,4,4,3,4,3,4,4,2,0.0,neutral or dissatisfied
Female,Loyal Customer,32,Personal Travel,Eco,199,2,4,2,3,3,2,3,3,4,2,4,4,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,64,Personal Travel,Eco,581,3,5,3,4,5,3,5,5,3,2,5,3,5,5,0,12.0,neutral or dissatisfied
Male,Loyal Customer,14,Personal Travel,Eco,125,4,5,4,2,5,4,5,5,2,5,5,3,3,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,31,Business travel,Business,271,0,0,0,3,1,1,1,1,3,5,4,2,4,1,0,0.0,satisfied
Female,Loyal Customer,45,Business travel,Eco,565,4,3,3,3,3,3,1,4,4,4,4,4,4,4,18,17.0,satisfied
Female,Loyal Customer,37,Personal Travel,Eco,1674,1,4,1,3,4,1,1,4,2,5,3,1,4,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,59,Business travel,Business,626,4,4,4,4,5,4,4,4,4,4,4,4,4,3,0,0.0,satisfied
Female,Loyal Customer,33,Business travel,Business,436,2,2,2,2,4,4,3,2,2,2,2,3,2,4,2,3.0,neutral or dissatisfied
Male,Loyal Customer,23,Business travel,Business,3260,4,4,4,4,5,5,5,5,4,3,4,5,4,5,27,6.0,satisfied
Female,Loyal Customer,38,Personal Travel,Eco,287,1,1,1,3,5,1,5,5,1,3,2,2,3,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,33,Business travel,Business,481,2,2,2,2,5,5,5,5,3,1,5,4,4,5,0,0.0,satisfied
Male,Loyal Customer,58,Business travel,Business,1834,3,3,3,3,4,4,4,5,5,5,5,4,5,4,0,0.0,satisfied
Male,Loyal Customer,50,Business travel,Business,1564,4,2,2,2,2,3,3,4,4,4,4,3,4,4,13,15.0,neutral or dissatisfied
Male,Loyal Customer,32,Business travel,Business,919,4,4,4,4,4,4,4,4,3,2,5,3,5,4,5,0.0,satisfied
Male,Loyal Customer,61,Personal Travel,Eco,301,2,4,2,2,1,2,1,1,5,4,4,2,4,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,24,Business travel,Business,1531,1,1,1,1,4,4,4,4,5,2,5,5,4,4,0,0.0,satisfied
Female,Loyal Customer,70,Personal Travel,Eco,129,3,3,3,1,3,5,4,4,4,3,4,4,4,5,0,12.0,neutral or dissatisfied
Female,Loyal Customer,39,Personal Travel,Eco,1546,4,4,4,3,2,4,2,2,3,3,3,2,4,2,11,10.0,neutral or dissatisfied
Female,Loyal Customer,49,Business travel,Business,2103,5,5,5,5,1,5,2,5,5,5,5,3,5,1,17,8.0,satisfied
Male,Loyal Customer,47,Business travel,Business,1009,2,2,1,2,5,4,4,2,2,2,2,5,2,4,10,0.0,satisfied
Female,Loyal Customer,50,Business travel,Business,2370,3,3,3,3,3,4,4,3,3,3,3,4,3,5,0,0.0,satisfied
Female,disloyal Customer,36,Business travel,Eco Plus,1075,2,1,1,3,4,1,4,4,1,3,4,3,3,4,21,73.0,neutral or dissatisfied
Female,Loyal Customer,44,Business travel,Business,1710,4,4,4,4,4,1,5,5,5,5,5,1,5,2,0,0.0,satisfied
Male,Loyal Customer,24,Business travel,Business,850,5,5,5,5,4,4,4,4,5,3,5,5,5,4,11,5.0,satisfied
Female,Loyal Customer,25,Business travel,Business,2906,2,2,2,2,5,5,5,5,1,5,4,1,5,5,0,0.0,satisfied
Female,Loyal Customer,14,Business travel,Business,3421,2,1,1,1,2,2,2,2,3,2,3,2,4,2,1,0.0,neutral or dissatisfied
Male,Loyal Customer,28,Business travel,Eco,985,3,2,2,2,3,3,3,3,2,2,3,1,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,63,Business travel,Eco,414,4,2,5,5,4,4,4,4,3,3,3,1,3,4,0,0.0,neutral or dissatisfied
Female,disloyal Customer,42,Business travel,Eco,351,2,0,2,5,2,2,2,2,3,4,2,2,5,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,69,Business travel,Business,2410,3,4,4,4,1,3,4,3,3,3,3,1,3,4,0,0.0,neutral or dissatisfied
Male,disloyal Customer,27,Business travel,Eco,1010,2,2,2,1,1,2,2,1,3,1,4,3,1,1,27,23.0,neutral or dissatisfied
Female,Loyal Customer,12,Personal Travel,Eco,432,5,5,5,4,5,5,5,5,1,1,5,2,2,5,0,0.0,satisfied
Female,Loyal Customer,10,Personal Travel,Eco Plus,612,3,5,3,3,3,3,3,3,1,2,5,3,5,3,89,80.0,neutral or dissatisfied
Female,Loyal Customer,34,Business travel,Business,1389,2,2,3,2,2,4,5,4,4,5,4,3,4,3,0,0.0,satisfied
Female,Loyal Customer,37,Business travel,Business,3560,5,5,5,5,5,5,5,5,5,5,5,4,5,5,48,38.0,satisfied
Male,Loyal Customer,22,Business travel,Business,3795,1,1,1,1,4,4,4,4,3,2,4,1,3,4,0,0.0,satisfied
Male,Loyal Customer,50,Business travel,Business,3901,1,1,1,1,2,5,5,5,5,5,5,3,5,3,8,4.0,satisfied
Female,Loyal Customer,50,Business travel,Business,405,4,4,4,4,2,5,5,4,4,4,4,5,4,5,0,0.0,satisfied
Male,Loyal Customer,10,Personal Travel,Eco,1090,3,3,3,3,5,3,5,5,1,4,4,1,4,5,10,0.0,neutral or dissatisfied
Male,Loyal Customer,36,Business travel,Business,895,5,5,5,5,2,4,5,4,4,4,4,1,4,3,58,56.0,satisfied
Male,Loyal Customer,54,Business travel,Business,3666,4,4,4,4,2,4,5,4,4,4,4,3,4,5,0,3.0,satisfied
Female,Loyal Customer,45,Business travel,Business,346,1,1,1,1,2,3,3,4,4,4,4,5,4,4,0,0.0,satisfied
Male,Loyal Customer,53,Business travel,Eco Plus,409,2,5,5,5,2,2,2,2,3,2,3,2,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,52,Personal Travel,Business,589,3,4,3,4,2,3,3,2,2,3,2,2,2,2,30,22.0,neutral or dissatisfied
Male,Loyal Customer,60,Personal Travel,Eco Plus,308,3,5,3,2,2,3,5,2,3,3,5,4,4,2,30,20.0,neutral or dissatisfied
Female,Loyal Customer,17,Personal Travel,Eco,308,2,3,2,3,5,2,4,5,2,1,3,2,4,5,15,11.0,neutral or dissatisfied
Female,Loyal Customer,44,Business travel,Business,1014,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0.0,satisfied
Male,Loyal Customer,41,Business travel,Business,937,5,5,5,5,5,4,4,5,5,5,5,5,5,5,77,60.0,satisfied
Male,Loyal Customer,20,Personal Travel,Eco,227,2,5,2,5,5,2,5,5,3,2,5,4,4,5,49,63.0,neutral or dissatisfied
Female,Loyal Customer,52,Business travel,Business,1590,3,3,3,3,2,5,5,5,5,5,5,4,5,5,0,11.0,satisfied
Male,Loyal Customer,18,Business travel,Business,3932,4,3,4,4,3,3,4,3,3,5,3,3,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,37,Business travel,Business,3816,4,4,4,4,4,4,3,4,4,4,4,3,4,1,0,0.0,satisfied
Male,disloyal Customer,26,Business travel,Business,377,4,4,4,4,3,4,3,3,3,5,4,5,4,3,0,0.0,satisfied
Female,disloyal Customer,41,Business travel,Eco Plus,2419,3,3,3,1,3,4,4,1,1,4,1,4,1,4,10,26.0,neutral or dissatisfied
Male,Loyal Customer,69,Business travel,Business,404,4,4,4,4,4,5,5,4,4,4,4,4,4,4,0,0.0,satisfied
Female,Loyal Customer,24,Business travel,Eco,489,2,2,2,2,2,2,3,2,3,3,3,2,4,2,0,6.0,neutral or dissatisfied
Male,disloyal Customer,26,Business travel,Business,448,3,0,3,3,3,3,2,3,5,2,5,3,5,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,68,Business travel,Business,2712,1,1,3,1,2,2,4,2,2,2,2,1,2,2,0,0.0,satisfied
Female,Loyal Customer,64,Personal Travel,Eco,2588,1,2,1,3,1,3,2,1,3,4,3,2,1,2,0,23.0,neutral or dissatisfied
Male,Loyal Customer,47,Business travel,Eco,327,3,3,2,3,3,3,3,3,4,4,4,2,3,3,16,1.0,neutral or dissatisfied
Female,Loyal Customer,54,Business travel,Business,1696,2,2,2,2,5,5,4,5,5,5,5,3,5,5,0,0.0,satisfied
Female,Loyal Customer,55,Personal Travel,Business,737,1,5,1,5,2,5,5,1,1,1,3,5,1,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,35,Business travel,Eco Plus,270,3,3,3,3,3,3,3,3,1,2,2,4,2,3,18,14.0,neutral or dissatisfied
Male,Loyal Customer,26,Personal Travel,Eco,566,3,3,4,2,5,4,5,5,1,3,4,1,4,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,47,Personal Travel,Eco,436,2,4,2,1,4,2,4,4,5,2,5,4,4,4,8,4.0,neutral or dissatisfied
Female,Loyal Customer,21,Personal Travel,Eco,1504,3,4,3,2,2,3,2,2,5,3,5,5,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,60,Personal Travel,Eco,456,3,4,3,3,5,4,3,2,2,3,2,5,2,4,0,8.0,neutral or dissatisfied
Male,Loyal Customer,59,Business travel,Business,1167,1,1,1,1,3,4,5,2,2,3,2,5,2,5,7,0.0,satisfied
Female,Loyal Customer,45,Personal Travel,Eco,666,0,2,0,3,1,2,3,3,3,0,3,1,3,2,3,1.0,satisfied
Female,Loyal Customer,41,Personal Travel,Eco Plus,1164,4,5,5,5,2,4,4,1,1,5,1,5,1,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,32,Business travel,Business,1384,5,2,5,5,2,2,2,2,4,2,4,2,3,2,0,0.0,satisfied
Male,Loyal Customer,53,Business travel,Business,2204,3,2,3,3,2,5,5,5,5,5,5,3,5,3,18,14.0,satisfied
Male,Loyal Customer,31,Business travel,Business,1599,4,5,5,5,4,4,4,4,2,3,3,4,4,4,169,217.0,neutral or dissatisfied
Male,Loyal Customer,15,Personal Travel,Eco,1190,2,5,3,4,1,3,1,1,4,4,5,4,4,1,69,119.0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Business,3701,4,4,4,4,3,5,4,4,4,4,4,4,4,5,0,0.0,satisfied
Female,Loyal Customer,59,Business travel,Business,2914,4,4,4,4,1,1,5,5,5,5,5,5,5,3,0,0.0,satisfied
Female,disloyal Customer,25,Business travel,Eco,1050,4,4,4,1,5,4,2,5,4,1,1,4,3,5,0,5.0,satisfied
Male,Loyal Customer,66,Business travel,Eco,1187,1,1,1,1,1,1,1,1,3,3,4,2,4,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,43,Business travel,Business,1751,2,5,2,2,2,4,4,2,2,2,2,4,2,4,0,0.0,satisfied
Male,Loyal Customer,39,Business travel,Eco Plus,427,4,5,5,5,4,4,4,4,5,3,2,1,5,4,7,14.0,satisfied
Male,Loyal Customer,53,Business travel,Business,3357,2,2,2,2,5,3,3,2,2,2,2,3,2,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,34,Personal Travel,Eco,426,2,2,1,4,1,1,1,1,1,3,4,3,4,1,36,34.0,neutral or dissatisfied
Male,Loyal Customer,43,Business travel,Business,1562,1,1,1,1,3,5,4,5,5,5,5,5,5,3,95,87.0,satisfied
Male,Loyal Customer,17,Personal Travel,Eco,152,4,4,4,1,5,4,5,5,3,4,5,5,4,5,11,11.0,neutral or dissatisfied
Female,Loyal Customer,54,Business travel,Business,3280,3,5,5,5,5,3,3,3,3,3,3,2,3,3,0,0.0,neutral or dissatisfied
Female,disloyal Customer,55,Business travel,Eco,202,2,1,1,1,1,1,3,1,2,2,1,3,2,1,0,3.0,neutral or dissatisfied
Male,Loyal Customer,54,Personal Travel,Eco,814,4,2,4,3,4,4,4,4,2,2,4,2,3,4,0,16.0,neutral or dissatisfied
Male,Loyal Customer,66,Personal Travel,Eco,363,2,2,2,2,3,2,3,3,1,4,3,1,3,3,11,7.0,neutral or dissatisfied
Female,disloyal Customer,43,Business travel,Business,372,4,4,4,1,2,4,2,2,3,4,4,5,4,2,3,0.0,satisfied
Female,Loyal Customer,24,Business travel,Business,2229,0,0,0,2,5,5,5,5,1,4,4,2,3,5,0,1.0,satisfied
Male,Loyal Customer,65,Personal Travel,Eco,347,1,5,1,3,3,1,3,3,5,4,4,5,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,14,Personal Travel,Business,102,2,3,2,4,2,2,2,2,1,2,4,1,4,2,1,3.0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,748,1,1,1,1,4,4,5,5,5,5,5,3,5,5,0,0.0,satisfied
Female,disloyal Customer,39,Business travel,Business,1283,5,5,5,5,2,5,2,2,4,3,5,5,5,2,9,4.0,satisfied
Female,Loyal Customer,29,Business travel,Business,1853,3,3,3,3,3,5,3,3,2,1,3,3,5,3,0,0.0,satisfied
Female,Loyal Customer,31,Personal Travel,Eco,1085,2,4,2,1,1,2,1,1,4,3,5,5,4,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,55,Business travel,Business,1158,1,1,1,1,5,1,1,5,5,5,5,1,5,2,0,0.0,satisfied
Male,Loyal Customer,34,Business travel,Eco Plus,277,1,0,0,4,3,0,3,3,2,1,4,2,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,25,Personal Travel,Business,214,4,4,4,2,1,4,1,1,3,2,5,3,5,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,51,Business travel,Business,2586,2,2,2,2,3,5,5,4,4,4,4,4,4,5,2,0.0,satisfied
Male,Loyal Customer,52,Personal Travel,Eco,481,4,2,5,1,3,5,3,3,3,5,1,1,2,3,19,8.0,neutral or dissatisfied
Female,Loyal Customer,23,Business travel,Eco,130,2,1,1,1,2,2,2,2,3,1,3,1,3,2,8,26.0,neutral or dissatisfied
Male,Loyal Customer,59,Business travel,Business,2125,2,2,2,2,3,4,4,4,4,4,4,4,4,5,117,117.0,satisfied
Female,Loyal Customer,51,Business travel,Eco,680,5,3,1,3,3,1,5,5,5,5,5,5,5,1,12,21.0,satisfied
Male,disloyal Customer,34,Business travel,Business,1723,3,3,3,5,3,3,4,3,3,3,4,4,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Business,1400,2,1,2,1,4,3,3,2,2,2,2,2,2,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,45,Business travel,Eco,1504,5,4,4,4,5,2,2,5,5,5,5,4,5,3,0,0.0,satisfied
Male,Loyal Customer,11,Personal Travel,Eco,447,2,5,2,1,2,2,2,2,4,5,4,5,5,2,0,4.0,neutral or dissatisfied
Female,Loyal Customer,39,Business travel,Eco Plus,432,2,2,2,2,2,2,2,2,3,2,2,2,3,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,14,Personal Travel,Eco,227,2,4,0,3,2,0,4,2,3,2,4,3,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,36,Personal Travel,Eco,261,5,5,5,3,3,5,3,3,3,4,3,1,2,3,0,0.0,satisfied
Male,disloyal Customer,23,Business travel,Eco,679,3,3,3,3,3,4,5,3,5,3,3,5,2,5,142,140.0,neutral or dissatisfied
Male,Loyal Customer,42,Business travel,Business,1416,2,2,2,2,4,5,4,3,3,4,3,5,3,4,23,39.0,satisfied
Female,Loyal Customer,39,Business travel,Business,819,2,5,5,5,3,4,4,2,2,2,2,1,2,1,0,50.0,neutral or dissatisfied
Female,Loyal Customer,64,Personal Travel,Eco,139,3,3,0,3,3,4,3,4,4,0,4,4,4,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,42,Business travel,Business,533,3,4,4,4,2,3,4,3,3,3,3,4,3,2,0,0.0,neutral or dissatisfied
